77;David Bowie;Golden Years;96;Brixton, London, England, GB(51.4524, -0.12192);ARJA1841187FB3A029;0.0;0,000;0,000;-14,478;0;0,timbres/golden years-david bowie
3;Jota Quest;Amor maior;5;Belo Horizonte, Minas Gerais, BR(-19.9454, -43.9327);ARGTPKB1187FB3E9F7;147.338;0,473;0,504;-5,821;211;4,timbres/amor maior-jota quest
81;Don McLean;Crying;44;New Rochelle, NY, US(40.9197, -73.7868);AR1UBH11187FB3643A;77.478;0,226;0,209;-14,424;218;4,timbres/crying-don mclean
64;Beatles;I Want To Hold Your Hand;2;Liverpool, England, GB(53.4098, -2.97848);AR6XZ861187FB4CECD;131.381;0,563;0,472;-12,833;146;4,timbres/i want to hold your hand-beatles
96;Joan Osborne;One Of Us;13;Anchorage, KY, US(38.2644, -85.5388);AREIZH41187B9A108D;83.673;0,177;0,493;-9,196;344;4,timbres/one of us-joan osborne
199899;Red Hot Chili Peppers;Californication;20000;Hollywood, Los Angeles, CA, US(34.1016, -118.337);ARE8GLF1187FB52532;96.523;0,596;0,353;-3,266;330;4,timbres/californication-red hot chili peppers
